time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.020007,0.91677,0.173736,-1.41771,0.01,1.00333
0.125,0.0620708,0.623851,0.57009,-3.50802,0.01,1.00333
0.25,0.182519,-0.0341201,1.0317,-5.64572,0.01,1.00333
0.375,0.251286,-0.49785,0.211452,-2.33639,0.01,1.00333
0.5,0.254737,-0.685545,-0.122575,-0.75748,0.01,1.00333
0.625,0.224335,-0.694489,-0.363772,0.626084,0.01,1.00333
0.75,0.15965,-0.514116,-0.712501,2.40331,0.01,1.00333
0.875,0.0229149,-0.00517803,-1.52674,5.92747,0.01,1.00333
1,-0.119566,0.526058,-0.741805,2.49512,0.01,1.00333
1.125,-0.187104,0.712288,-0.384471,0.644914,0.01,1.00333
1.25,-0.220268,0.703826,-0.146651,-0.766309,0.01,1.00333
1.375,-0.220118,0.513727,0.182635,-2.36499,0.01,1.00333
1.5,-0.155885,0.047939,0.973509,-5.58985,0.01,1.00333
1.625,-0.0452916,-0.59413,0.494,-3.40686,0.01,1.00333
1.75,-0.0126933,-0.876097,0.0961546,-1.33462,0.01,1.00333
1.875,-0.0129781,-0.95159,-0.0884372,0.09838,0.01,1.00333
2,-0.0353475,-0.849471,-0.287038,1.58456,0.01,1.00333
2.125,-0.0957698,-0.519803,-0.771345,4.02399,0.01,1.00333
2.25,-0.224369,0.133192,-0.812734,4.41875,0.01,1.00333
2.375,-0.279083,0.496454,-0.170187,1.7988,0.01,1.00333
2.5,-0.279919,0.625813,0.135088,0.32667,0.01,1.00333
2.625,-0.246734,0.579834,0.405055,-1.09803,0.01,1.00333
2.75,-0.170737,0.323407,0.881523,-3.26605,0.01,1.00333
2.875,-0.0149536,-0.276368,1.23366,-4.7005,0.01,1.00333
3,0.0904858,-0.643854,0.574277,-1.65023,0.01,1.00333
3.125,0.143735,-0.744394,0.299915,-0.0369982,0.01,1.00333
3.25,0.166309,-0.658741,0.048633,1.4293,0.01,1.00333
3.375,0.14742,-0.363711,-0.419857,3.52224,0.01,1.00333
3.5,0.0469808,0.272687,-0.855422,5.25835,0.01,1.00333
3.625,-0.00913964,0.707133,-0.164107,2.15921,0.01,1.00333
3.75,-0.0112436,0.870968,0.100216,0.544557,0.01,1.00333
3.875,0.0130688,0.849456,0.292988,-0.905974,0.01,1.00333
4,0.0678401,0.625616,0.636209,-2.85699,0.01,1.00333
4.125,0.190858,0.066269,1.16133,-5.34553,0.01,1.00333
4.25,0.28141,-0.381213,0.380728,-2.17893,0.01,1.00333
4.375,0.304573,-0.546501,0.0225127,-0.56874,0.01,1.00333
4.5,0.290157,-0.531901,-0.256198,0.815817,0.01,1.00333
4.625,0.235237,-0.324511,-0.671551,2.67708,0.01,1.00333
4.75,0.103497,0.208213,-1.29783,5.2328,0.01,1.00333
4.875,-0.0101993,0.641058,-0.60183,1.99855,0.01,1.00333
5,-0.0653461,0.776276,-0.311448,0.272315,0.01,1.00333
5.125,-0.0902886,0.718415,-0.0794374,-1.20958,0.01,1.00333
5.25,-0.0782269,0.455255,0.330434,-3.18832,0.01,1.00333
