time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.0198849,0.923652,0.171682,-1.41373,0.01,1.01
0.125,0.0614729,0.631934,0.563713,-3.48886,0.01,1.01
0.25,0.181802,-0.0264388,1.05012,-5.73045,0.01,1.01
0.375,0.251942,-0.497189,0.216883,-2.3728,0.01,1.01
0.5,0.255861,-0.688888,-0.11968,-0.787751,0.01,1.01
0.625,0.225873,-0.701783,-0.359386,0.591555,0.01,1.01
0.75,0.162122,-0.526913,-0.700042,2.34243,0.01,1.01
0.875,0.0279335,-0.0293241,-1.52607,5.92282,0.01,1.01
1,-0.118221,0.517759,-0.761588,2.58597,0.01,1.01
1.125,-0.187454,0.712589,-0.394695,0.702319,0.01,1.01
1.25,-0.221875,0.711099,-0.157684,-0.709154,0.01,1.01
1.375,-0.223571,0.529396,0.161914,-2.27942,0.01,1.01
1.5,-0.163818,0.081598,0.924468,-5.39108,0.01,1.01
1.625,-0.0497249,-0.576037,0.532028,-3.57593,0.01,1.01
1.75,-0.0141876,-0.872582,0.111362,-1.42401,0.01,1.01
1.875,-0.0128553,-0.958467,-0.0759863,0.0167775,0.01,1.01
2,-0.0332973,-0.86748,-0.266437,1.4812,0.01,1.01
2.125,-0.0893874,-0.55683,-0.713817,3.78497,0.01,1.01
2.25,-0.217279,0.0938485,-0.889156,4.74777,0.01,1.01
2.375,-0.277712,0.483265,-0.196284,1.93717,0.01,1.01
2.5,-0.280999,0.627617,0.118864,0.438271,0.01,1.01
2.625,-0.250024,0.596231,0.383319,-0.968647,0.01,1.01
2.75,-0.178405,0.361708,0.823926,-3.00721,0.01,1.01
2.875,-0.0263499,-0.221549,1.32874,-5.10755,0.01,1.01
3,0.0871601,-0.625062,0.610797,-1.83225,0.01,1.01
3.125,0.143834,-0.744474,0.322808,-0.172209,0.01,1.01
3.25,0.169505,-0.676041,0.0783478,1.28011,0.01,1.01
3.375,0.15619,-0.405634,-0.350721,3.23687,0.01,1.01
3.5,0.0617964,0.206348,-0.95657,5.69127,0.01,1.01
3.625,-0.00414243,0.683747,-0.209131,2.37637,0.01,1.01
3.75,-0.0102892,0.869831,0.0750055,0.702731,0.01,1.01
3.875,0.0108298,0.868311,0.263687,-0.735079,0.01,1.01
4,0.0601985,0.671442,0.569762,-2.55988,0.01,1.01
4.125,0.173875,0.152086,1.22281,-5.61129,0.01,1.01
4.25,0.276248,-0.347216,0.43967,-2.45827,0.01,1.01
4.375,0.304532,-0.53995,0.0531867,-0.757131,0.01,1.01
4.5,0.293838,-0.548722,-0.223404,0.619135,0.01,1.01
4.625,0.244778,-0.371762,-0.600668,2.34844,0.01,1.01
4.75,0.123832,0.113526,-1.34371,5.42801,0.01,1.01
4.875,-0.0028177,0.603153,-0.669485,2.31791,0.01,1.01
5,-0.0638941,0.769424,-0.347844,0.483069,0.01,1.01
5.125,-0.0934032,0.737504,-0.120666,-0.992383,0.01,1.01
5.25,-0.0886753,0.508187,0.242963,-2.8182,0.01,1.01
5.375,-0.0121234,-0.040877,0.943684,-5.78554,0.01,1.01
5.5,0.0581439,-0.560627,0.206761,-2.61501,0.01,1.01
5.625,0.0603268,-0.768785,-0.129732,-0.840334,0.01,1.01
5.75,0.0303298,-0.781707,-0.349248,0.641009,0.01,1.01
5.875,-0.0314563,-0.592565,-0.684555,2.54422,0.01,1.01
6,-0.158888,-0.0787224,-1.24609,5.18688,0.01,1.01
6.125,-0.264091,0.362587,-0.498093,2.1037,0.01,1.01
6.25,-0.301567,0.515318,-0.134258,0.451768,0.01,1.01
6.375,-0.300533,0.485166,0.15544,-0.94626,0.01,1.01
6.5,-0.256873,0.260047,0.595105,-2.83886,0.01,1.01
6.625,-0.136492,-0.280707,1.13288,-4.95018,0.01,1.01
6.75,-0.0402187,-0.688739,0.493053,-1.90414,0.01,1.01
6.875,0.00307962,-0.816229,0.227156,-0.227727,0.01,1.01
7,0.0183223,-0.752648,0.00691652,1.26511,0.01,1.01
7.125,-0.00290383,-0.477626,-0.410109,3.34971,0.01,1.01
7.25,-0.0945964,0.118831,-0.754756,4.90525,0.01,1.01
7.375,-0.14031,0.528368,-0.0761651,2.02319,0.01,1.01
7.5,-0.128803,0.67554,0.233804,0.400949,0.01,1.01
7.625,-0.0836618,0.630701,0.49916,-1.16346,0.01,1.01
7.75,0.00549023,0.349642,1.00754,-3.63829,0.01,1.01
7.875,0.152932,-0.205114,0.958424,-3.53078,0.01,1.01
8,0.234026,-0.477933,0.418597,-1.1384,0.01,1.01
8.125,0.266845,-0.52389,0.117269,0.36017,0.01,1.01
8.25,0.261767,-0.385218,-0.223332,1.9308,0.01,1.01
8.375,0.196872,0.00835474,-0.898898,4.68619,0.01,1.01
8.5,0.0893278,0.559721,-0.560458,3.00681,0.01,1.01
8.625,0.0460655,0.795893,-0.188867,0.971276,0.01,1.01
8.75,0.0356423,0.823361,0.0167392,-0.514594,0.01,1.01
8.875,0.0531197,0.659251,0.295063,-2.21065,0.01,1.01
9,0.125674,0.213044,0.913237,-5.09579,0.01,1.01
9.125,0.21057,-0.310128,0.321383,-2.73103,0.01,1.01
9.25,0.22194,-0.526715,-0.0933662,-0.883559,0.01,1.01
9.375,0.192222,-0.544195,-0.381103,0.613209,0.01,1.01
9.5,0.121813,-0.354471,-0.794601,2.60604,0.01,1.01
9.625,-0.0174461,0.145975,-1.20953,4.41092,0.01,1.01
9.75,-0.124327,0.499744,-0.577917,1.54444,0.01,1.01
9.875,-0.175661,0.58403,-0.26416,-0.116105,0.01,1.01
10,-0.190483,0.474396,0.0450228,-1.68189,0.01,1.01
10.125,-0.153133,0.127059,0.633317,-4.17181,0.01,1.01
10.25,-0.0596832,-0.446059,0.513134,-3.50641,0.01,1.01
10.375,-0.0275235,-0.729914,0.0706006,-1.27981,0.01,1.01
10.5,-0.0335173,-0.792813,-0.155584,0.245611,0.01,1.01
10.625,-0.0680387,-0.662521,-0.423421,1.92769,0.01,1.01
10.75,-0.153644,-0.259519,-0.993917,4.68789,0.01,1.01
10.875,-0.253765,0.236466,-0.460468,2.59763,0.01,1.01
11,-0.281932,0.437126,-0.0345372,0.765532,0.01,1.01
11.125,-0.267027,0.441923,0.273221,-0.695575,0.01,1.01
11.25,-0.20865,0.244899,0.708829,-2.6346,0.01,1.01
11.375,-0.0809554,-0.246725,1.11237,-4.254,0.01,1.01
11.5,0.0178804,-0.590503,0.537525,-1.50314,0.01,1.01
11.625,0.0660491,-0.669534,0.252155,0.166739,0.01,1.01
11.75,0.0806167,-0.550836,-0.0394579,1.78487,0.01,1.01
11.875,0.0441109,-0.183799,-0.620993,4.36606,0.01,1.01
12,-0.0364744,0.373352,-0.369964,3.26839,0.01,1.01
12.125,-0.0514864,0.637189,0.069449,1.15837,0.01,1.01
12.25,-0.0263389,0.684106,0.32589,-0.396938,0.01,1.01
12.375,0.0331056,0.525401,0.662909,-2.27937,0.01,1.01
12.5,0.151434,0.0712799,1.11194,-4.44832,0.01,1.01
12.625,0.248603,-0.312482,0.473897,-1.79477,0.01,1.01
12.75,0.283563,-0.428455,0.110984,-0.152105,0.01,1.01
12.875,0.277632,-0.355752,-0.218608,1.3538,0.01,1.01
13,0.219641,-0.0577289,-0.776253,3.66509,0.01,1.01
13.125,0.106225,0.457233,-0.723739,3.20823,0.01,1.01
13.25,0.0457507,0.706135,-0.305003,0.998116,0.01,1.01
13.375,0.0226775,0.732402,-0.0703825,-0.55315,0.01,1.01
13.5,0.0311769,0.559847,0.240295,-2.31383,0.01,1.01
13.625,0.0966358,0.105764,0.78125,-4.81152,0.01,1.01
13.75,0.159933,-0.355544,0.189432,-2.3632,0.01,1.01
13.875,0.157953,-0.53341,-0.186057,-0.589875,0.01,1.01
14,0.116457,-0.509658,-0.485291,1.00682,0.01,1.01
14.125,0.0284244,-0.250292,-0.986639,3.38404,0.01,1.01
14.25,-0.108162,0.233613,-0.887969,2.99335,0.01,1.01
14.375,-0.185599,0.455941,-0.409571,0.787242,0.01,1.01
14.5,-0.217167,0.456083,-0.0985705,-0.763217,0.01,1.01
14.625,-0.206143,0.254241,0.315431,-2.59871,0.01,1.01
