time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.00693078,0.903422,0.177874,-1.41815,-0.00333333,0.99
0.125,0.0498027,0.610229,0.579266,-3.51389,-0.00333333,0.99
0.25,0.171573,-0.048337,1.03817,-5.62585,-0.00333333,0.99
0.375,0.241448,-0.509725,0.223176,-2.32034,-0.00333333,0.99
0.5,0.246638,-0.69551,-0.106721,-0.742886,-0.00333333,0.99
0.625,0.218415,-0.702805,-0.344877,0.637166,-0.00333333,0.99
0.75,0.156288,-0.521654,-0.690017,2.40186,-0.00333333,0.99
0.875,0.0227575,-0.0146294,-1.50666,5.93546,-0.00333333,0.99
1,-0.118449,0.523372,-0.728816,2.54294,-0.00333333,0.99
1.125,-0.184112,0.715091,-0.368567,0.687917,-0.00333333,0.99
1.25,-0.215376,0.712227,-0.132914,-0.718869,-0.00333333,0.99
1.375,-0.213929,0.528826,0.188237,-2.30116,-0.00333333,0.99
1.5,-0.150272,0.0749892,0.959637,-5.46432,-0.00333333,0.99
1.625,-0.036527,-0.572673,0.523705,-3.47663,-0.00333333,0.99
1.75,-0.00126382,-0.860183,0.111906,-1.36576,-0.00333333,0.99
1.875,4.14332e-05,-0.939184,-0.078091,0.0712758,-0.00333333,0.99
2,-0.0211844,-0.840752,-0.278363,1.55043,-0.00333333,0.99
2.125,-0.0802285,-0.51727,-0.755274,3.94768,-0.00333333,0.99
2.25,-0.209161,0.135084,-0.84002,4.50906,-0.00333333,0.99
2.375,-0.266393,0.505013,-0.186584,1.83003,-0.00333333,0.99
2.5,-0.269273,0.637428,0.117978,0.347535,-0.00333333,0.99
2.625,-0.238472,0.594215,0.383354,-1.07177,-0.00333333,0.99
2.75,-0.165867,0.343117,0.845836,-3.19346,-0.00333333,0.99
2.875,-0.0133176,-0.253415,1.24668,-4.84623,-0.00333333,0.99
3,0.0923544,-0.634449,0.566726,-1.72923,-0.00333333,0.99
3.125,0.144263,-0.744081,0.287756,-0.108153,-0.00333333,0.99
3.25,0.165498,-0.667879,0.0409239,1.34584,-0.00333333,0.99
3.375,0.146648,-0.386242,-0.406777,3.37277,-0.00333333,0.99
3.5,0.0466389,0.237399,-0.91584,5.42905,-0.00333333,0.99
3.625,-0.0155488,0.687554,-0.198346,2.23382,-0.00333333,0.99
3.75,-0.0211729,0.85887,0.0761139,0.597514,-0.00333333,0.99
3.875,0.000303829,0.844218,0.27049,-0.845458,-0.00333333,0.99
4,0.0517973,0.630369,0.602538,-2.74279,-0.00333333,0.99
4.125,0.170835,0.0849183,1.18955,-5.48315,-0.00333333,0.99
4.25,0.265705,-0.382436,0.402608,-2.2812,-0.00333333,0.99
4.375,0.291011,-0.55753,0.0376992,-0.633529,-0.00333333,0.99
4.5,0.27867,-0.55069,-0.236807,0.752118,-0.00333333,0.99
