time,a1,a2,v1,v2,initial_a1,initial_a2
0,-9.49352e-05,0.924269,0.171745,-1.40254,-0.01,1.01
0.125,0.0412821,0.635714,0.558356,-3.44042,-0.01,1.01
0.25,0.163024,-0.0238916,1.11574,-5.95768,-0.01,1.01
0.375,0.239058,-0.512612,0.250986,-2.45874,-0.01,1.01
0.5,0.246987,-0.713466,-0.087371,-0.856192,-0.01,1.01
0.625,0.221468,-0.735594,-0.318528,0.50684,-0.01,1.01
0.75,0.164176,-0.57537,-0.631814,2.16928,-0.01,1.01
0.875,0.0427752,-0.116145,-1.44623,5.71662,-0.01,1.01
1,-0.111769,0.485142,-0.807994,2.95359,-0.01,1.01
1.125,-0.183627,0.715192,-0.402099,0.941495,-0.01,1.01
1.25,-0.218874,0.742942,-0.168069,-0.470276,-0.01,1.01
1.375,-0.223631,0.595097,0.115736,-1.95097,-0.01,1.01
1.5,-0.176508,0.212723,0.748457,-4.5761,-0.01,1.01
1.625,-0.0524717,-0.477796,0.717332,-4.29393,-0.01,1.01
1.75,-0.00253902,-0.832174,0.185298,-1.75369,-0.01,1.01
1.875,0.00622615,-0.955175,-0.0241076,-0.267341,-0.01,1.01
2,-0.00719526,-0.901927,-0.199155,1.14192,-0.01,1.01
2.125,-0.0503746,-0.649808,-0.54916,3.0818,-0.01,1.01
2.25,-0.16734,-0.046443,-1.16244,5.88296,-0.01,1.01
2.375,-0.252432,0.445752,-0.312969,2.44426,-0.01,1.01
2.5,-0.266926,0.641965,0.0434048,0.806513,-0.01,1.01
2.625,-0.245761,0.657273,0.29381,-0.566836,-0.01,1.01
2.75,-0.18984,0.487366,0.638184,-2.27967,-0.01,1.01
2.875,-0.0648355,0.00665321,1.44111,-5.71688,-0.01,1.01
3,0.0762942,-0.535822,0.737133,-2.5951,-0.01,1.01
3.125,0.142792,-0.730722,0.375499,-0.694583,-0.01,1.01
3.25,0.175126,-0.727051,0.14305,0.738468,-0.01,1.01
3.375,0.174963,-0.538948,-0.179534,2.36307,-0.01,1.01
3.5,0.111507,-0.0714172,-0.955415,5.58364,-0.01,1.01
3.625,0.00739099,0.555285,-0.443748,3.31302,-0.01,1.01
3.75,-0.0190702,0.828694,-0.0445982,1.27716,-0.01,1.01
3.875,-0.0115777,0.896708,0.153542,-0.165353,-0.01,1.01
4,0.0203292,0.783464,0.377868,-1.70984,-0.01,1.01
4.125,0.0959749,0.424463,0.937821,-4.43231,-0.01,1.01
4.25,0.227806,-0.204385,0.731126,-3.7547,-0.01,1.01
4.375,0.279634,-0.510996,0.182372,-1.46034,-0.01,1.01
4.5,0.283366,-0.601815,-0.107551,-0.0322741,-0.01,1.01
4.625,0.252726,-0.51762,-0.398509,1.4324,-0.01,1.01
4.75,0.172872,-0.205269,-0.970973,3.91461,-0.01,1.01
4.875,0.0221671,0.402084,-0.988699,3.86116,-0.01,1.01
5,-0.0629247,0.703527,-0.465992,1.31393,-0.01,1.01
5.125,-0.105027,0.768535,-0.221595,-0.223278,-0.01,1.01
5.25,-0.117584,0.648359,0.0402748,-1.74483,-0.01,1.01
5.375,-0.0832542,0.296075,0.602234,-4.22915,-0.01,1.01
5.5,0.021025,-0.352506,0.611982,-4.23133,-0.01,1.01
5.625,0.0569448,-0.701736,0.0590839,-1.70645,-0.01,1.01
5.75,0.047717,-0.816519,-0.187135,-0.177479,-0.01,1.01
5.875,0.0108714,-0.745985,-0.416236,1.35348,-0.01,1.01
6,-0.06658,-0.442575,-0.90897,3.822,-0.01,1.01
6.125,-0.205352,0.154762,-0.883912,3.89978,-0.01,1.01
6.25,-0.273766,0.467177,-0.301123,1.44179,-0.01,1.01
6.375,-0.291461,0.552923,0.00213817,-0.0205491,-0.01,1.01
6.5,-0.273179,0.461912,0.306663,-1.48607,-0.01,1.01
6.625,-0.203955,0.143644,0.888901,-3.93991,-0.01,1.01
6.75,-0.0675125,-0.446157,0.877873,-3.70768,-0.01,1.01
6.875,0.00667407,-0.737663,0.393161,-1.26974,-0.01,1.01
7,0.0406165,-0.797893,0.16245,0.262165,-0.01,1.01
7.125,0.0461953,-0.671009,-0.0950032,1.82416,-0.01,1.01
7.25,0.00400771,-0.300085,-0.676572,4.46795,-0.01,1.01
7.375,-0.0943723,0.32008,-0.49622,3.75357,-0.01,1.01
7.5,-0.119746,0.629132,0.0116888,1.46769,-0.01,1.01
