time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.0201294,0.909886,0.175796,-1.42174,0.01,0.996667
0.125,0.0626709,0.615754,0.576493,-3.52733,0.01,0.996667
0.25,0.183195,-0.0416325,1.01342,-5.56152,0.01,0.996667
0.375,0.250611,-0.498432,0.206086,-2.30017,0.01,0.996667
0.5,0.253597,-0.682128,-0.125495,-0.727167,0.01,0.996667
0.625,0.222772,-0.687103,-0.368275,0.660912,0.01,0.996667
0.75,0.157124,-0.501132,-0.725403,2.46585,0.01,0.996667
0.875,0.0179299,0.0187724,-1.52076,5.90364,0.01,0.996667
1,-0.120833,0.533941,-0.722677,2.40675,0.01,0.996667
1.125,-0.186709,0.711701,-0.374279,0.58777,0.01,0.996667
1.25,-0.218603,0.696255,-0.135372,-0.823959,0.01,0.996667
1.375,-0.216545,0.49758,0.204255,-2.45365,0.01,0.996667
1.5,-0.147701,0.013275,1.0175,-5.76785,0.01,0.996667
1.625,-0.0411082,-0.611085,0.458411,-3.24704,0.01,0.996667
1.75,-0.0113063,-0.878958,0.0813575,-1.24634,0.01,0.996667
1.875,-0.0131984,-0.944086,-0.101105,0.180517,0.01,0.996667
2,-0.0375698,-0.830621,-0.308769,1.69152,0.01,0.996667
2.125,-0.102644,-0.480724,-0.833003,4.2801,0.01,0.996667
2.25,-0.230758,0.169541,-0.741815,4.11222,0.01,0.996667
2.375,-0.280203,0.508336,-0.145518,1.66485,0.01,0.996667
2.5,-0.278664,0.622911,0.151328,0.214977,0.01,0.996667
2.625,-0.243193,0.562119,0.428173,-1.23162,0.01,0.996667
2.75,-0.162406,0.282309,0.945359,-3.54939,0.01,0.996667
2.875,-0.00462624,-0.32645,1.13892,-4.29382,0.01,0.996667
3,0.0934319,-0.660577,0.540235,-1.47695,0.01,0.996667
3.125,0.143381,-0.742705,0.276999,0.0976404,0.01,0.996667
3.25,0.162749,-0.639601,0.0170354,1.58361,0.01,0.996667
3.375,0.137754,-0.318074,-0.497068,3.83947,0.01,0.996667
3.5,0.0336216,0.332834,-0.74615,4.792,0.01,0.996667
3.625,-0.0135506,0.727654,-0.122999,1.95481,0.01,0.996667
3.75,-0.0118415,0.869897,0.125017,0.387143,0.01,0.996667
3.875,0.0157548,0.828105,0.324327,-1.08308,0.01,0.996667
4,0.0765383,0.575146,0.712167,-3.19062,0.01,0.996667
4.125,0.206354,-0.0131695,1.05141,-4.87309,0.01,0.996667
4.25,0.285682,-0.410926,0.328342,-1.92257,0.01,0.996667
4.375,0.304113,-0.550006,-0.00729352,-0.382726,0.01,0.996667
4.5,0.285889,-0.511787,-0.291387,1.01958,0.01,0.996667
4.625,0.224373,-0.271422,-0.753983,3.04937,0.01,0.996667
4.75,0.0846789,0.296191,-1.18343,4.74268,0.01,0.996667
4.875,-0.0165029,0.673571,-0.542376,1.70902,0.01,0.996667
5,-0.0661849,0.779372,-0.275875,0.0650573,0.01,0.996667
5.125,-0.0864203,0.695316,-0.0349544,-1.43538,0.01,0.996667
5.25,-0.0660755,0.395082,0.432345,-3.61379,0.01,0.996667
5.375,0.0290676,-0.230299,0.722705,-4.83717,0.01,0.996667
5.5,0.0720566,-0.630991,0.0732243,-1.98043,0.01,0.996667
5.625,0.0622176,-0.774419,-0.20502,-0.380474,0.01,0.996667
5.75,0.0225946,-0.728591,-0.438795,1.15233,0.01,0.996667
5.875,-0.0562615,-0.455232,-0.898984,3.50428,0.01,0.996667
6,-0.197895,0.120725,-0.967208,3.98412,0.01,0.996667
6.125,-0.275337,0.437365,-0.364101,1.43655,0.01,0.996667
6.25,-0.300263,0.520623,-0.0511346,-0.0493992,0.01,0.996667
6.375,-0.288058,0.425588,0.263046,-1.52079,0.01,0.996667
6.5,-0.223604,0.102701,0.854168,-3.97102,0.01,0.996667
6.625,-0.0944672,-0.476143,0.817327,-3.59358,0.01,0.996667
6.75,-0.0259476,-0.75919,0.35743,-1.22514,0.01,0.996667
6.875,0.00412993,-0.814338,0.135173,0.303324,0.01,0.996667
7,0.00645907,-0.68107,-0.121461,1.89253,0.01,0.996667
7.125,-0.0398373,-0.296032,-0.714177,4.62193,0.01,0.996667
