time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.00668676,0.917184,0.17377,-1.41021,-0.00333333,1.00333
0.125,0.0486075,0.626389,0.566503,-3.47557,-0.00333333,1.00333
0.25,0.170116,-0.0328921,1.07512,-5.7959,-0.00333333,1.00333
0.375,0.242747,-0.50836,0.234028,-2.39318,-0.00333333,1.00333
0.5,0.248868,-0.702146,-0.100968,-0.803301,-0.00333333,1.00333
0.625,0.221467,-0.717313,-0.336208,0.568549,-0.00333333,1.00333
0.75,0.161177,-0.547031,-0.665635,2.2824,-0.00333333,1.00333
0.875,0.0328508,-0.0631706,-1.49475,5.88077,-0.00333333,1.00333
1,-0.1156,0.505976,-0.769768,2.72944,-0.00333333,1.00333
1.125,-0.184731,0.715149,-0.389162,0.803358,-0.00333333,1.00333
1.25,-0.218489,0.72623,-0.154522,-0.605217,-0.00333333,1.00333
1.375,-0.220616,0.559336,0.148497,-2.13528,-0.00333333,1.00333
1.5,-0.165579,0.140179,0.857142,-5.04905,-0.00333333,1.00333
1.625,-0.0459546,-0.533912,0.605436,-3.83741,-0.00333333,1.00333
1.75,-0.00447666,-0.85183,0.143353,-1.54804,-0.00333333,1.00333
1.875,0.000108986,-0.951802,-0.0533668,-0.0919596,-0.00333333,1.00333
2,-0.0173596,-0.875414,-0.238742,1.34823,-0.00333333,1.00333
2.125,-0.0681988,-0.588298,-0.646879,3.49651,-0.00333333,1.00333
2.25,-0.193783,0.0512431,-0.998993,5.19269,-0.00333333,1.00333
2.375,-0.263229,0.476473,-0.241368,2.11531,-0.00333333,1.00333
2.5,-0.271158,0.639319,0.0853559,0.571165,-0.00333333,1.00333
2.625,-0.244689,0.625027,0.341643,-0.818595,-0.00333333,1.00333
2.75,-0.18029,0.415708,0.739552,-2.71105,-0.00333333,1.00333
2.875,-0.0378971,-0.136054,1.41646,-5.57123,-0.00333333,1.00333
3,0.0849696,-0.59305,0.64507,-2.11131,-0.00333333,1.00333
3.125,0.144021,-0.741399,0.33386,-0.380409,-0.00333333,1.00333
3.25,0.171295,-0.699375,0.0973396,1.05462,-0.00333333,1.00333
3.375,0.16274,-0.464227,-0.281674,2.85127,-0.00333333,1.00333
3.5,0.0785039,0.094918,-1.05321,6.02308,-0.00333333,1.00333
3.625,-0.00430473,0.634786,-0.297507,2.70057,-0.00333333,1.00333
3.75,-0.0185683,0.852394,0.0242543,0.917938,-0.00333333,1.00333
3.875,-0.00340849,0.877537,0.214601,-0.511464,-0.00333333,1.00333
4,0.0381401,0.71471,0.483358,-2.19977,-0.00333333,1.00333
4.125,0.136177,0.25953,1.17717,-5.43688,-0.00333333,1.00333
4.25,0.253578,-0.306086,0.535309,-2.89387,-0.00333333,1.00333
4.375,0.290023,-0.539067,0.101569,-1.01766,-0.00333333,1.00333
4.5,0.285108,-0.578927,-0.174088,0.367002,-0.00333333,1.00333
4.625,0.244212,-0.43914,-0.508742,1.9659,-0.00333333,1.00333
4.75,0.140946,-0.0244411,-1.24593,5.07052,-0.00333333,1.00333
4.875,0.000797096,0.533072,-0.763017,2.83013,-0.00333333,1.00333
5,-0.0672319,0.747204,-0.381734,0.797855,-0.00333333,1.00333
5.125,-0.10053,0.753341,-0.153959,-0.680813,-0.00333333,1.00333
5.25,-0.102324,0.569957,0.159115,-2.34731,-0.00333333,1.00333
5.375,-0.0425225,0.103327,0.894237,-5.48901,-0.00333333,1.00333
5.5,0.0479624,-0.491019,0.346302,-3.1349,-0.00333333,1.00333
5.625,0.0626401,-0.747457,-0.0531785,-1.15735,-0.00333333,1.00333
5.75,0.0415752,-0.799156,-0.276005,0.317674,-0.00333333,1.00333
5.875,-0.00858875,-0.659327,-0.55668,2.0216,-0.00333333,1.00333
6,-0.114886,-0.23013,-1.22108,5.13656,-0.00333333,1.00333
6.125,-0.239389,0.30207,-0.615091,2.69335,-0.00333333,1.00333
6.25,-0.286703,0.510884,-0.191822,0.824152,-0.00333333,1.00333
6.375,-0.292721,0.525894,0.0925121,-0.573644,-0.00333333,1.00333
6.5,-0.260291,0.357401,0.46084,-2.23696,-0.00333333,1.00333
6.625,-0.159587,-0.0999997,1.19267,-5.23315,-0.00333333,1.00333
6.75,-0.0419815,-0.606068,0.607175,-2.48795,-0.00333333,1.00333
6.875,0.0107883,-0.79077,0.280918,-0.618776,-0.00333333,1.00333
7,0.0325517,-0.775614,0.0659971,0.857418,-0.00333333,1.00333
7.125,0.0225538,-0.564191,-0.26889,2.65756,-0.00333333,1.00333
7.25,-0.0536516,-0.0432822,-0.926664,5.55215,-0.00333333,1.00333
7.375,-0.12513,0.466211,-0.216655,2.57329,-0.00333333,1.00333
7.5,-0.127114,0.669039,0.143824,0.795659,-0.00333333,1.00333
7.625,-0.0935081,0.67537,0.394547,-0.708335,-0.00333333,1.00333
7.75,-0.0231378,0.472113,0.783752,-2.73523,-0.00333333,1.00333
7.875,0.115215,-0.05374,1.19483,-4.64515,-0.00333333,1.00333
8,0.216324,-0.429459,0.511581,-1.70975,-0.00333333,1.00333
8.125,0.258078,-0.537226,0.180383,-0.100045,-0.00333333,1.00333
8.25,0.262527,-0.459915,-0.121527,1.36769,-0.00333333,1.00333
8.375,0.218776,-0.16646,-0.650949,3.59159,-0.00333333,1.00333
8.5,0.104526,0.410747,-0.802595,4.03864,-0.00333333,1.00333
8.625,0.041741,0.736251,-0.288886,1.49376,-0.00333333,1.00333
8.75,0.0210817,0.822663,-0.0583224,-0.0593783,-0.00333333,1.00333
8.875,0.0273283,0.721548,0.176138,-1.6088,-0.00333333,1.00333
9,0.0763712,0.383164,0.692721,-4.11514,-0.00333333,1.00333
9.125,0.177218,-0.202133,0.546936,-3.65328,-0.00333333,1.00333
9.25,0.207952,-0.500958,0.0189896,-1.39352,-0.00333333,1.00333
9.375,0.191097,-0.578873,-0.276238,0.120139,-0.00333333,1.00333
9.5,0.137531,-0.463694,-0.607552,1.82171,-0.00333333,1.00333
9.625,0.0239987,-0.0660852,-1.25702,4.71126,-0.00333333,1.00333
9.75,-0.107417,0.410056,-0.718768,2.33305,-0.00333333,1.00333
9.875,-0.170861,0.573486,-0.338336,0.437294,-0.00333333,1.00333
10,-0.195703,0.534298,-0.0544828,-1.06661,-0.00333333,1.00333
10.125,-0.178303,0.289401,0.386276,-3.03076,-0.00333333,1.00333
10.25,-0.0886898,-0.258122,0.814571,-4.7246,-0.00333333,1.00333
10.375,-0.0293012,-0.655266,0.213619,-1.92017,-0.00333333,1.00333
10.5,-0.0208717,-0.788182,-0.0531751,-0.282763,-0.00333333,1.00333
10.625,-0.04102,-0.729816,-0.280208,1.25272,-0.00333333,1.00333
10.75,-0.0997136,-0.445042,-0.728971,3.56017,-0.00333333,1.00333
10.875,-0.212028,0.104619,-0.715901,3.71683,-0.00333333,1.00333
11,-0.261817,0.405827,-0.155614,1.38102,-0.00333333,1.00333
11.125,-0.260551,0.482345,0.162589,-0.120246,-0.00333333,1.00333
11.25,-0.220083,0.370578,0.509216,-1.75596,-0.00333333,1.00333
11.375,-0.119469,-0.00825681,1.15114,-4.48948,-0.00333333,1.00333
11.5,0.00619334,-0.48159,0.702849,-2.38307,-0.00333333,1.00333
11.625,0.0687804,-0.648946,0.340966,-0.450402,-0.00333333,1.00333
11.75,0.0951913,-0.609069,0.0766017,1.09234,-0.00333333,1.00333
11.875,0.0814902,-0.35758,-0.350615,3.11477,-0.00333333,1.00333
12,0.000402567,0.190164,-0.690243,4.54413,-0.00333333,1.00333
12.125,-0.0437157,0.572601,-0.0913142,1.8529,-0.00333333,1.00333
12.25,-0.0356498,0.697912,0.197362,0.215608,-0.00333333,1.00333
12.375,0.00473451,0.626927,0.464324,-1.40912,-0.00333333,1.00333
12.5,0.0913507,0.305742,0.990807,-3.98921,-0.00333333,1.00333
12.625,0.213396,-0.196055,0.688536,-2.84556,-0.00333333,1.00333
12.75,0.267092,-0.413323,0.224343,-0.829258,-0.00333333,1.00333
12.875,0.275391,-0.424326,-0.088721,0.6416,-0.00333333,1.00333
13,0.241013,-0.240308,-0.501065,2.44178,-0.00333333,1.00333
13.125,0.138465,0.227614,-1.01295,4.47864,-0.00333333,1.00333
13.25,0.0485291,0.613611,-0.459204,1.80458,-0.00333333,1.00333
13.375,0.0102617,0.727513,-0.17801,0.104522,-0.00333333,1.00333
13.5,0.00296885,0.644619,0.075433,-1.46808,-0.00333333,1.00333
13.625,0.0387781,0.329181,0.56667,-3.82731,-0.00333333,1.00333
13.75,0.123881,-0.216996,0.469056,-3.51136,-0.00333333,1.00333
13.875,0.147071,-0.502822,-0.0330219,-1.29095,-0.00333333,1.00333
14,0.123871,-0.565095,-0.328595,0.276408,-0.00333333,1.00333
14.125,0.0623891,-0.422399,-0.689909,2.13715,-0.00333333,1.00333
14.25,-0.0599862,0.0102516,-1.16063,4.29183,-0.00333333,1.00333
14.375,-0.166391,0.37964,-0.562393,1.67464,-0.00333333,1.00333
14.5,-0.21345,0.477459,-0.214259,-0.0193491,-0.00333333,1.00333
14.625,-0.220589,0.379451,0.11653,-1.5933,-0.00333333,1.00333
