time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.013347,0.916976,0.173755,-1.41398,0.00333333,1.00333
0.125,0.0553399,0.625116,0.56831,-3.49185,0.00333333,1.00333
0.25,0.176338,-0.0335913,1.05333,-5.72048,0.00333333,1.00333
0.375,0.247026,-0.503148,0.222711,-2.36469,0.00333333,1.00333
0.5,0.251811,-0.693887,-0.111763,-0.78043,0.00333333,1.00333
0.625,0.222912,-0.705956,-0.349934,0.597095,0.00333333,1.00333
0.75,0.160441,-0.530696,-0.688803,2.34175,0.00333333,1.00333
0.875,0.0278751,-0.034149,-1.51502,5.92245,0.00333333,1.00333
1,-0.117644,0.516306,-0.755283,2.61054,0.00333333,1.00333
1.125,-0.185952,0.713928,-0.386791,0.724068,0.00333333,1.00333
1.25,-0.219425,0.715263,-0.150802,-0.685257,0.00333333,1.00333
1.375,-0.220466,0.536917,0.164825,-2.24769,0.00333333,1.00333
1.5,-0.160985,0.0950448,0.916602,-5.32447,0.00333333,1.00333
1.625,-0.0454242,-0.564935,0.547663,-3.61401,0.00333333,1.00333
1.75,-0.00850464,-0.864451,0.119423,-1.44036,0.00333333,1.00333
1.875,-0.00636433,-0.952154,-0.0707702,0.00288753,0.00333333,1.00333
2,-0.0262357,-0.863032,-0.262172,1.4642,0.00333333,1.00333
2.125,-0.0816652,-0.55538,-0.706202,3.74851,0.00333333,1.00333
2.25,-0.209552,0.0942577,-0.903662,4.7966,0.00333333,1.00333
2.375,-0.271322,0.48733,-0.204748,1.95384,0.00333333,1.00333
2.5,-0.275648,0.633285,0.110262,0.44901,0.00333333,1.00333
2.625,-0.245862,0.603293,0.372567,-0.95572,0.00333333,1.00333
2.75,-0.175902,0.371297,0.806752,-2.97359,0.00333333,1.00333
2.875,-0.0257348,-0.209161,1.33464,-5.17746,0.00333333,1.00333
3,0.0880234,-0.61994,0.607606,-1.87377,0.00333333,1.00333
3.125,0.144064,-0.744033,0.316816,-0.208332,0.00333333,1.00333
3.25,0.169057,-0.680351,0.074253,1.23863,0.00333333,1.00333
3.375,0.155685,-0.416429,-0.345395,3.16649,0.00333333,1.00333
3.5,0.0619611,0.18724,-0.982681,5.75968,0.00333333,1.00333
3.625,-0.00719511,0.673242,-0.227317,2.4177,0.00333333,1.00333
3.75,-0.0151729,0.863331,0.0627052,0.730243,0.00333333,1.00333
3.875,0.00452216,0.865298,0.252597,-0.705002,0.00333333,1.00333
4,0.0523214,0.673209,0.554134,-2.50725,0.00333333,1.00333
4.125,0.163638,0.162408,1.22441,-5.62674,0.00333333,1.00333
4.25,0.268204,-0.346922,0.452143,-2.51521,0.00333333,1.00333
4.375,0.297657,-0.544925,0.0610952,-0.790836,0.00333333,1.00333
4.5,0.288008,-0.557646,-0.213908,0.587513,0.00333333,1.00333
4.625,0.2405,-0.385436,-0.583782,2.29785,0.00333333,1.00333
4.75,0.122414,0.0910572,-1.33491,5.42253,0.00333333,1.00333
4.875,-0.00559057,0.591233,-0.674885,2.38655,0.00333333,1.00333
5,-0.0667396,0.764397,-0.345562,0.531674,0.00333333,1.00333
5.125,-0.0959106,0.738601,-0.118553,-0.940606,0.00333333,1.00333
5.25,-0.0913255,0.517066,0.236347,-2.73742,0.00333333,1.00333
5.375,-0.0163188,-0.0193233,0.955691,-5.78827,0.00333333,1.00333
5.5,0.0579397,-0.549933,0.232328,-2.67765,0.00333333,1.00333
5.625,0.0627131,-0.76401,-0.11193,-0.880294,0.00333333,1.00333
5.75,0.0348603,-0.782031,-0.331794,0.596361,0.00333333,1.00333
5.875,-0.0243522,-0.600196,-0.658225,2.46172,0.00333333,1.00333
6,-0.148264,-0.0976526,-1.25558,5.25612,0.00333333,1.00333
6.125,-0.256168,0.358748,-0.511068,2.18897,0.00333333,1.00333
6.25,-0.294723,0.519853,-0.140812,0.508533,0.00333333,1.00333
6.375,-0.294599,0.496591,0.146275,-0.889435,0.00333333,1.00333
6.5,-0.252732,0.280234,0.572665,-2.74366,0.00333333,1.00333
6.625,-0.134897,-0.250663,1.15544,-5.06067,0.00333333,1.00333
6.75,-0.0358424,-0.673321,0.504414,-1.98422,0.00333333,1.00333
6.875,0.00821839,-0.809046,0.230059,-0.286508,0.00333333,1.00333
7,0.0237784,-0.752943,0.0104029,1.20068,0.00333333,1.00333
7.125,0.00359895,-0.488215,-0.393399,3.23567,0.00333333,1.00333
7.25,-0.0873084,0.0995368,-0.795338,5.03207,0.00333333,1.00333
7.375,-0.137318,0.521651,-0.101475,2.08826,0.00333333,1.00333
7.5,-0.128558,0.67563,0.213464,0.451315,0.00333333,1.00333
7.625,-0.0860859,0.637717,0.475265,-1.09774,0.00333333,1.00333
7.75,-0.000953107,0.368932,0.962812,-3.48956,0.00333333,1.00333
7.875,0.145397,-0.186742,0.987504,-3.70266,0.00333333,1.00333
8,0.228489,-0.474674,0.426118,-1.22716,0.00333333,1.00333
8.125,0.261996,-0.53062,0.122622,0.283609,0.00333333,1.00333
8.25,0.258,-0.402343,-0.20916,1.83354,0.00333333,1.00333
8.375,0.196421,-0.0261502,-0.863268,4.51715,0.00333333,1.00333
8.5,0.0863827,0.534362,-0.594368,3.1466,0.00333333,1.00333
8.625,0.0404067,0.782843,-0.202793,1.04644,0.00333333,1.00333
8.75,0.0285947,0.819012,0.00686128,-0.445857,0.00333333,1.00333
8.875,0.0445739,0.664657,0.278584,-2.11488,0.00333333,1.00333
9,0.113943,0.234977,0.89544,-4.99548,0.00333333,1.00333
9.125,0.202602,-0.300752,0.353885,-2.84095,0.00333333,1.00333
9.25,0.217104,-0.527395,-0.0723937,-0.948274,0.00333333,1.00333
9.375,0.189995,-0.552831,-0.358777,0.545368,0.00333333,1.00333
9.5,0.123119,-0.374157,-0.756485,2.48152,0.00333333,1.00333
9.625,-0.0122302,0.115133,-1.23327,4.56337,0.00333333,1.00333
9.75,-0.121968,0.488444,-0.589021,1.65873,0.00333333,1.00333
9.875,-0.174087,0.585008,-0.268381,-0.0250279,0.00333333,1.00333
10,-0.189716,0.487408,0.0340068,-1.57326,0.00333333,1.00333
10.125,-0.155243,0.158737,0.595171,-3.96759,0.00333333,1.00333
10.25,-0.0601207,-0.416683,0.562997,-3.68377,0.00333333,1.00333
