time,a1,a2,v1,v2,initial_a1,initial_a2
9.25,0.201425,-0.462659,0.0999147,-1.80725,-0.00333333,1.01
9.375,0.192697,-0.5865,-0.217801,-0.231438,-0.00333333,1.01
9.5,0.14778,-0.520003,-0.51618,1.35537,-0.00333333,1.01
9.625,0.0523083,-0.205276,-1.09547,4.0036,-0.00333333,1.01
9.75,-0.0913836,0.324605,-0.868814,3.01313,-0.00333333,1.01
9.875,-0.167313,0.549811,-0.409072,0.827669,-0.00333333,1.01
10,-0.200429,0.557059,-0.124764,-0.687575,-0.00333333,1.01
10.125,-0.194974,0.369605,0.248538,-2.4237,-0.00333333,1.01
10.25,-0.122005,-0.106841,0.910496,-5.13669,-0.00333333,1.01
10.375,-0.0421467,-0.593259,0.328203,-2.45338,-0.00333333,1.01
10.5,-0.0232733,-0.779862,0.0131678,-0.658823,-0.00333333,1.01
10.625,-0.03491,-0.769292,-0.201471,0.837003,-0.00333333,1.01
10.75,-0.0790578,-0.552836,-0.554462,2.7987,-0.00333333,1.01
10.875,-0.184321,-0.0331592,-0.921688,4.60727,-0.00333333,1.01
11,-0.253479,0.355644,-0.254555,1.87599,-0.00333333,1.01
11.125,-0.261965,0.485736,0.0941021,0.280956,-0.00333333,1.01
11.25,-0.231308,0.428476,0.40874,-1.24419,-0.00333333,1.01
11.375,-0.150094,0.138896,0.965063,-3.67344,-0.00333333,1.01
11.5,-0.0135864,-0.38174,0.877634,-3.16785,-0.00333333,1.01
11.625,0.0636741,-0.620481,0.423766,-0.897191,-0.00333333,1.01
11.75,0.0996851,-0.633371,0.157446,0.663877,-0.00333333,1.01
11.875,0.0996003,-0.446564,-0.195198,2.43528,-0.00333333,1.01
12,0.0354846,0.0291822,-0.808654,5.05483,-0.00333333,1.01
12.125,-0.0306762,0.508174,-0.215789,2.43645,-0.00333333,1.01
12.25,-0.0341942,0.693469,0.121784,0.644928,-0.00333333,1.01
12.375,-0.00384719,0.678512,0.367972,-0.90582,-0.00333333,1.01
12.5,0.0644943,0.442801,0.784225,-3.08202,-0.00333333,1.01
12.625,0.189209,-0.0707228,0.897783,-3.76856,-0.00333333,1.01
12.75,0.260758,-0.37216,0.320251,-1.33323,-0.00333333,1.01
12.875,0.279402,-0.44073,-0.00801583,0.188394,-0.00333333,1.01
13,0.257755,-0.322145,-0.361561,1.78632,-0.00333333,1.01
13.125,0.176217,0.052463,-0.992131,4.38552,-0.00333333,1.01
13.25,0.065424,0.530219,-0.608439,2.49581,-0.00333333,1.01
13.375,0.0136884,0.711992,-0.262622,0.567131,-0.00333333,1.01
13.5,-0.00438797,0.687018,-0.0235078,-0.969233,-0.00333333,1.01
13.625,0.0135888,0.452713,0.361438,-2.94821,-0.00333333,1.01
13.75,0.0935318,-0.0723673,0.693446,-4.48066,-0.00333333,1.01
13.875,0.137789,-0.453542,0.0791236,-1.85179,-0.00333333,1.01
14,0.126092,-0.578403,-0.243757,-0.207346,-0.00333333,1.01
14.125,0.0774828,-0.504328,-0.551724,1.46224,-0.00333333,1.01
14.25,-0.023378,-0.169468,-1.11466,4.0871,-0.00333333,1.01
14.375,-0.150327,0.291526,-0.719918,2.41557,-0.00333333,1.01
14.5,-0.211677,0.462346,-0.305031,0.48045,-0.00333333,1.01
14.625,-0.230598,0.427619,0.00640049,-1.03962,-0.00333333,1.01
14.75,-0.203871,0.183441,0.473783,-3.05074,-0.00333333,1.01
14.875,-0.11149,-0.329739,0.735452,-3.99498,-0.00333333,1.01
15,-0.0552234,-0.658878,0.23078,-1.51241,-0.00333333,1.01
15.125,-0.0430918,-0.74478,-0.0200517,0.0860243,-0.00333333,1.01
15.25,-0.0606972,-0.635885,-0.282502,1.72292,-0.00333333,1.01
15.375,-0.125375,-0.273322,-0.801996,4.25278,-0.00333333,1.01
15.5,-0.212891,0.215377,-0.401684,2.707,-0.00333333,1.01
15.625,-0.233053,0.425641,0.0341178,0.810768,-0.00333333,1.01
15.75,-0.209147,0.432138,0.349079,-0.718491,-0.00333333,1.01
15.875,-0.140238,0.22467,0.804139,-2.79247,-0.00333333,1.01
16,-0.0109025,-0.246337,0.988052,-3.52377,-0.00333333,1.01
16.125,0.0768458,-0.519933,0.47762,-1.0864,-0.00333333,1.01
16.25,0.117407,-0.551709,0.18078,0.535452,-0.00333333,1.01
16.375,0.119454,-0.380609,-0.180424,2.30085,-0.00333333,1.01
16.5,0.0600447,0.065033,-0.727151,4.61716,-0.00333333,1.01
16.625,-0.000168583,0.504089,-0.201941,2.23129,-0.00333333,1.01
16.75,-0.00316098,0.666402,0.121907,0.465844,-0.00333333,1.01
16.875,0.0277481,0.626881,0.381489,-1.1336,-0.00333333,1.01
17,0.100358,0.353484,0.836751,-3.44847,-0.00333333,1.01
17.125,0.212596,-0.123406,0.681451,-2.96759,-0.00333333,1.01
17.25,0.26419,-0.353222,0.196578,-0.903711,-0.00333333,1.01
17.375,0.267999,-0.371423,-0.131893,0.599902,-0.00333333,1.01
17.5,0.227378,-0.189955,-0.557256,2.44493,-0.00333333,1.01
17.625,0.122775,0.25761,-0.940302,3.93551,-0.00333333,1.01
17.75,0.0390195,0.586798,-0.439036,1.46576,-0.00333333,1.01
17.875,0.00255859,0.662128,-0.161278,-0.198166,-0.00333333,1.01
18,-0.000582324,0.536842,0.13375,-1.87324,-0.00333333,1.01
18.125,0.0474064,0.155353,0.663464,-4.31891,-0.00333333,1.01
18.25,0.113915,-0.318418,0.248369,-2.58894,-0.00333333,1.01
18.375,0.117641,-0.516707,-0.14884,-0.712437,-0.00333333,1.01
18.5,0.0806364,-0.506721,-0.447712,0.89874,-0.00333333,1.01
18.625,-0.00124871,-0.265274,-0.914501,3.15943,-0.00333333,1.01
18.75,-0.127382,0.186698,-0.828819,2.86048,-0.00333333,1.01
18.875,-0.198438,0.399356,-0.358589,0.733559,-0.00333333,1.01
19,-0.22291,0.392898,-0.034385,-0.822595,-0.00333333,1.01
19.125,-0.202423,0.180067,0.404458,-2.72708,-0.00333333,1.01
19.25,-0.119772,-0.289263,0.709021,-3.86702,-0.00333333,1.01
19.375,-0.0639943,-0.614398,0.229212,-1.49408,-0.00333333,1.01
19.5,-0.0526734,-0.696615,-0.0321442,0.127706,-0.00333333,1.01
19.625,-0.0727565,-0.580048,-0.311722,1.81163,-0.00333333,1.01
19.75,-0.140971,-0.207814,-0.782448,4.12271,-0.00333333,1.01
19.875,-0.216309,0.222023,-0.317054,2.27649,-0.00333333,1.01
20,-0.228742,0.389088,0.085174,0.505548,-0.00333333,1.01
20.125,-0.19773,0.355602,0.419584,-1.07886,-0.00333333,1.01
