time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.000147907,0.910516,0.175825,-1.41033,-0.01,0.996667
0.125,0.0424683,0.619609,0.571018,-3.47815,-0.01,0.996667
0.25,0.16464,-0.039977,1.07844,-5.78629,-0.01,0.996667
0.375,0.237827,-0.514278,0.239898,-2.38518,-0.01,0.996667
0.5,0.244818,-0.70711,-0.0930263,-0.795967,-0.01,0.996667
0.625,0.218508,-0.721439,-0.32676,0.574287,-0.01,0.996667
0.75,0.159492,-0.550716,-0.654521,2.28246,-0.01,0.996667
0.875,0.032777,-0.0678276,-1.48257,5.87561,-0.01,0.996667
1,-0.115001,0.504505,-0.763538,2.75396,-0.01,0.996667
1.125,-0.183207,0.716424,-0.381191,0.824532,-0.01,0.996667
1.25,-0.216,0.730236,-0.147412,-0.582288,-0.01,0.996667
1.375,-0.217424,0.566516,0.15204,-2.10584,-0.01,0.996667
1.5,-0.162514,0.152718,0.84997,-4.98543,-0.01,0.996667
1.625,-0.0416846,-0.522634,0.621559,-3.87761,-0.01,0.996667
1.75,0.00119341,-0.843584,0.151368,-1.56401,-0.01,0.996667
1.875,0.00657308,-0.945298,-0.0483253,-0.105064,-0.01,0.996667
2,-0.0103585,-0.870647,-0.234879,1.33265,-0.01,0.996667
2.125,-0.0606308,-0.586185,-0.640565,3.46511,-0.01,0.996667
2.25,-0.186003,0.0514109,-1.01311,5.23976,-0.01,0.996667
2.375,-0.256825,0.480403,-0.249933,2.13182,-0.01,0.996667
2.5,-0.265793,0.644778,0.0768255,0.581021,-0.01,0.996667
2.625,-0.240492,0.631727,0.331198,-0.807402,-0.01,0.996667
2.75,-0.177663,0.424521,0.723793,-2.68365,-0.01,0.996667
2.875,-0.0374321,-0.123289,1.41661,-5.61625,-0.01,0.996667
3,0.0857246,-0.587606,0.64238,-2.15376,-0.01,0.996667
3.125,0.144159,-0.740588,0.327714,-0.415333,-0.01,0.996667
3.25,0.170699,-0.703081,0.0924512,1.01594,-0.01,0.996667
3.375,0.161894,-0.473731,-0.279144,2.79137,-0.01,0.996667
3.5,0.0786744,0.0755869,-1.06208,6.01916,-0.01,0.996667
3.625,-0.00723292,0.623573,-0.31668,2.74541,-0.01,0.996667
3.75,-0.0233672,0.845264,0.0120487,0.944417,-0.01,0.996667
3.875,-0.00958304,0.87365,0.204234,-0.48436,-0.01,0.996667
4,0.0305727,0.714925,0.470267,-2.15692,-0.01,0.996667
4.125,0.126292,0.268209,1.16026,-5.37307,-0.01,0.996667
4.25,0.245347,-0.305005,0.54948,-2.95615,-0.01,0.996667
4.375,0.283051,-0.543411,0.109619,-1.05043,-0.01,0.996667
4.5,0.279156,-0.586981,-0.165142,0.338357,-0.01,0.996667
4.625,0.239658,-0.451267,-0.494196,1.92501,-0.01,0.996667
4.75,0.139125,-0.0448424,-1.22017,4.99251,-0.01,0.996667
4.875,-0.00167422,0.520073,-0.770709,2.90648,-0.01,0.996667
5,-0.0698951,0.741389,-0.379559,0.845798,-0.01,0.996667
5.125,-0.1028,0.753393,-0.150821,-0.632566,-0.01,0.996667
5.25,-0.104479,0.576918,0.156198,-2.27972,-0.01,0.996667
5.375,-0.0461525,0.122835,0.879524,-5.3789,-0.01,0.996667
5.5,0.0474327,-0.478611,0.37472,-3.20823,-0.01,0.996667
5.625,0.064847,-0.74138,-0.0352349,-1.19637,-0.01,0.996667
5.75,0.0458642,-0.797793,-0.259759,0.278407,-0.01,0.996667
5.875,-0.00205443,-0.663954,-0.53527,1.9586,-0.01,0.996667
6,-0.104643,-0.247016,-1.19363,5.04673,-0.01,0.996667
6.125,-0.230996,0.296322,-0.631777,2.79058,-0.01,0.996667
6.25,-0.279595,0.513971,-0.198716,0.879932,-0.01,0.996667
6.375,-0.286463,0.535455,0.084714,-0.522704,-0.01,0.996667
6.5,-0.255445,0.374225,0.444095,-2.16435,-0.01,0.996667
6.625,-0.157943,-0.0704192,1.17632,-5.17713,-0.01,0.996667
6.75,-0.0380704,-0.588708,0.621883,-2.57952,-0.01,0.996667
6.875,0.0156326,-0.782117,0.283893,-0.676923,-0.01,0.996667
7,0.0376089,-0.774059,0.0676415,0.798837,-0.01,0.996667
7.125,0.0281822,-0.5713,-0.259016,2.56887,-0.01,0.996667
7.25,-0.0460369,-0.0643662,-0.934402,5.54021,-0.01,0.996667
7.375,-0.121718,0.457156,-0.244939,2.64805,-0.01,0.996667
7.5,-0.126593,0.667061,0.123586,0.843436,-0.01,0.996667
7.625,-0.0955024,0.679529,0.373337,-0.653895,-0.01,0.996667
7.75,-0.0283948,0.485486,0.749243,-2.62813,-0.01,0.996667
7.875,0.106443,-0.0306361,1.21806,-4.78848,-0.01,0.996667
8,0.21019,-0.423556,0.522003,-1.80599,-0.01,0.996667
