time,a1,a2,v1,v2,initial_a1,initial_a2
0,2.63356e-05,0.917394,0.173782,-1.40642,-0.01,1.00333
0.125,0.041874,0.627668,0.564671,-3.4592,-0.01,1.00333
0.25,0.163853,-0.0320201,1.09706,-5.87191,-0.01,1.00333
0.375,0.238451,-0.513485,0.245407,-2.42186,-0.01,1.00333
0.5,0.24591,-0.710324,-0.0901879,-0.826097,-0.01,1.00333
0.625,0.22,-0.728561,-0.32259,0.540432,-0.01,1.00333
0.75,0.161859,-0.563129,-0.642973,2.22516,-0.01,1.00333
0.875,0.0378023,-0.0920726,-1.46682,5.80643,-0.01,1.00333
1,-0.11343,0.495053,-0.785343,2.85215,-0.01,1.00333
1.125,-0.18344,0.715954,-0.391607,0.88283,-0.01,1.00333
1.25,-0.217464,0.736735,-0.15784,-0.526106,-0.01,1.00333
1.375,-0.220579,0.581019,0.133532,-2.02727,-0.01,1.00333
1.5,-0.169657,0.183303,0.798481,-4.77752,-0.01,1.00333
1.625,-0.0469156,-0.500933,0.667757,-4.07905,-0.01,1.00333
1.75,-0.000613075,-0.838226,0.16803,-1.65797,-0.01,1.00333
1.875,0.00644576,-0.950547,-0.0361694,-0.186312,-0.01,1.00333
2,-0.00870461,-0.886666,-0.216601,1.23607,-0.01,1.00333
2.125,-0.0553133,-0.618793,-0.593028,3.26623,-0.01,1.00333
2.25,-0.177042,0.00406001,-1.09259,5.58157,-0.01,1.00333
2.375,-0.254782,0.463822,-0.280353,2.28437,-0.01,1.00333
2.5,-0.266448,0.643923,0.0602518,0.693446,-0.01,1.00333
2.625,-0.243232,0.645101,0.312061,-0.685877,-0.01,1.00333
2.75,-0.183989,0.456984,0.678895,-2.47395,-0.01,1.00333
2.875,-0.0510395,-0.0587854,1.45234,-5.76739,-0.01,1.00333
3,0.0812666,-0.562991,0.68753,-2.3662,-0.01,1.00333
3.125,0.143606,-0.736488,0.351328,-0.553913,-0.01,1.00333
3.25,0.173061,-0.715908,0.118302,0.875967,-0.01,1.00333
3.375,0.168734,-0.507665,-0.226917,2.56865,-0.01,1.00333
3.5,0.095404,0.000796952,-1.03382,5.90694,-0.01,1.00333
3.625,-0.000349971,0.591347,-0.376395,3.01507,-0.01,1.00333
3.75,-0.0214171,0.838139,-0.0155842,1.109,-0.01,1.00333
3.875,-0.0107658,0.886319,0.17844,-0.323555,-0.01,1.00333
4,0.0251075,0.750834,0.421573,-1.92478,-0.01,1.00333
4.125,0.110297,0.34988,1.05507,-4.92819,-0.01,1.00333
4.25,0.237298,-0.257862,0.63345,-3.3287,-0.01,1.00333
4.375,0.281639,-0.528859,0.14469,-1.25152,-0.01,1.00333
4.5,0.281507,-0.595914,-0.135975,0.151994,-0.01,1.00333
4.625,0.246609,-0.486484,-0.443563,1.66936,-0.01,1.00333
4.75,0.157082,-0.129626,-1.09543,4.45402,-0.01,1.00333
4.875,0.00931088,0.46529,-0.870817,3.34864,-0.01,1.00333
5,-0.0667759,0.724553,-0.421104,1.07423,-0.01,1.00333
5.125,-0.104221,0.762817,-0.186729,-0.427049,-0.01,1.00333
5.25,-0.111552,0.615081,0.0948584,-2.00136,-0.01,1.00333
5.375,-0.0659854,0.214814,0.742098,-4.80855,-0.01,1.00333
5.5,0.035369,-0.42044,0.48317,-3.67959,-0.01,1.00333
5.625,0.06136,-0.724034,0.00976551,-1.44527,-0.01,1.00333
5.75,0.0471605,-0.809414,-0.223006,0.0488377,-0.01,1.00333
5.875,0.00502133,-0.708024,-0.471666,1.64199,-0.01,1.00333
6,-0.0841131,-0.351213,-1.05527,4.45265,-0.01,1.00333
6.125,-0.219523,0.231497,-0.745892,3.2982,-0.01,1.00333
6.25,-0.277234,0.49363,-0.247463,1.15311,-0.01,1.00333
6.375,-0.289423,0.546953,0.0427107,-0.269732,-0.01,1.00333
6.5,-0.265094,0.421833,0.370129,-1.80729,-0.01,1.00333
