time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.0202521,0.902999,0.177861,-1.42581,0.01,0.99
0.125,0.0632733,0.607644,0.582918,-3.54678,0.01,0.99
0.25,0.183829,-0.0489775,0.995306,-5.47794,0.01,0.99
0.375,0.24992,-0.498934,0.200784,-2.26414,0.01,0.99
0.5,0.252442,-0.678637,-0.128442,-0.69681,0.01,0.99
0.625,0.221185,-0.679624,-0.372898,0.696049,0.01,0.99
0.75,0.154543,-0.487953,-0.738764,2.5301,0.01,0.99
0.875,0.0130047,0.0424142,-1.50826,5.85186,0.01,0.99
1,-0.122025,0.54142,-0.704161,2.3207,0.01,0.99
1.125,-0.18627,0.710828,-0.364107,0.53086,0.01,0.99
1.25,-0.216879,0.688381,-0.123832,-0.88215,0.01,0.99
1.375,-0.212848,0.480938,0.226833,-2.54567,0.01,0.99
1.5,-0.13931,-0.0222057,1.05335,-5.91192,0.01,0.99
1.625,-0.0371596,-0.626959,0.425037,-3.0955,0.01,0.99
1.75,-0.0100244,-0.881172,0.0669261,-1.15905,0.01,0.99
1.875,-0.0135185,-0.935948,-0.114026,0.263288,0.01,0.99
2,-0.0399741,-0.8109,-0.331742,1.80251,0.01,0.99
2.125,-0.110039,-0.439469,-0.898136,4.5508,0.01,0.99
2.25,-0.236503,0.203118,-0.676759,3.82933,0.01,0.99
2.375,-0.281085,0.518944,-0.122105,1.53472,0.01,0.99
2.5,-0.277233,0.618909,0.16767,0.10298,0.01,0.99
2.625,-0.239383,0.543036,0.452858,-1.37009,0.01,0.99
2.75,-0.153347,0.238149,1.01566,-3.85845,0.01,0.99
2.875,0.0046797,-0.371982,1.0502,-3.91131,0.01,0.99
3,0.0960225,-0.675318,0.508295,-1.31102,0.01,0.99
3.125,0.14277,-0.739408,0.253913,0.232102,0.01,0.99
3.25,0.158802,-0.61855,-0.0167251,1.74412,0.01,0.99
3.375,0.127088,-0.268309,-0.582895,4.19152,0.01,0.99
3.5,0.0217133,0.386813,-0.641884,4.34664,0.01,0.99
3.625,-0.0174216,0.745461,-0.0851821,1.76076,0.01,0.99
3.75,-0.012085,0.86662,0.149649,0.229851,0.01,0.99
3.875,0.0189218,0.804152,0.358124,-1.26788,0.01,0.99
4,0.0864447,0.519443,0.799056,-3.56719,0.01,0.99
4.125,0.219933,-0.084374,0.929171,-4.34756,0.01,0.99
4.25,0.289157,-0.43667,0.281256,-1.6842,0.01,0.99
4.375,0.303159,-0.55049,-0.0366427,-0.197963,0.01,0.99
4.5,0.280986,-0.488241,-0.329587,1.23252,0.01,0.99
4.625,0.211972,-0.21168,-0.850002,3.47438,0.01,0.99
4.75,0.0681034,0.374322,-1.04957,4.16744,0.01,0.99
4.875,-0.0218522,0.701138,-0.489348,1.44233,0.01,0.99
5,-0.0664167,0.778754,-0.240571,-0.140279,0.01,0.99
5.125,-0.0817297,0.668016,0.0136073,-1.67276,0.01,0.99
5.25,-0.051938,0.326559,0.550637,-4.10433,0.01,0.99
5.375,0.0457429,-0.308411,0.579698,-4.22668,0.01,0.99
5.5,0.0772289,-0.65758,0.0179521,-1.70066,0.01,0.99
5.625,0.0620447,-0.770527,-0.241706,-0.15169,0.01,0.99
5.75,0.0172534,-0.694092,-0.491097,1.43287,0.01,0.99
5.875,-0.0723485,-0.370453,-1.0343,4.09462,0.01,0.99
6,-0.212632,0.19971,-0.826329,3.36973,0.01,0.99
6.125,-0.278989,0.464546,-0.308722,1.14255,0.01,0.99
6.25,-0.298245,0.515051,-0.0094052,-0.299736,0.01,0.99
6.375,-0.279839,0.385772,0.327877,-1.84354,0.01,0.99
6.5,-0.202125,0.00338398,1.00659,-4.62625,0.01,0.99
6.625,-0.0787043,-0.550806,0.682712,-3.0051,0.01,0.99
6.75,-0.0209383,-0.783146,0.300883,-0.924094,0.01,0.99
6.875,0.00306064,-0.803999,0.0880073,0.570219,0.01,0.99
7,-0.00192269,-0.63346,-0.200077,2.25295,0.01,0.99
7.125,-0.0638213,-0.181927,-0.860386,5.23175,0.01,0.99
7.25,-0.146625,0.373334,-0.298279,2.93334,0.01,0.99
7.375,-0.154796,0.609711,0.115997,1.01448,0.01,0.99
7.5,-0.123478,0.642301,0.381273,-0.494971,0.01,0.99
7.625,-0.0555443,0.470303,0.748925,-2.41586,0.01,0.99
7.75,0.0790755,-0.018206,1.2698,-4.79001,0.01,0.99
7.875,0.191271,-0.417901,0.584037,-1.82252,0.01,0.99
8,0.241096,-0.534489,0.240598,-0.1437,0.01,0.99
8.125,0.252982,-0.46136,-0.0615826,1.33845,0.01,0.99
8.25,0.217228,-0.17327,-0.579235,3.51774,0.01,0.99
8.375,0.110973,0.398766,-0.764077,4.10609,0.01,0.99
8.5,0.0532065,0.732295,-0.245792,1.54889,0.01,0.99
8.625,0.0380624,0.82503,-0.0140995,-0.0119903,0.01,0.99
8.75,0.0496597,0.729519,0.216887,-1.56689,0.01,0.99
8.875,0.103325,0.396182,0.722818,-4.06558,0.01,0.99
9,0.205246,-0.173755,0.552148,-3.52972,0.01,0.99
9.125,0.237227,-0.461273,0.0296434,-1.32179,0.01,0.99
9.25,0.22124,-0.531039,-0.274484,0.182299,0.01,0.99
9.375,0.166838,-0.407198,-0.625068,1.90746,0.01,0.99
9.5,0.0498016,0.00317613,-1.26407,4.69662,0.01,0.99
9.625,-0.0775649,0.452664,-0.699337,2.14368,0.01,0.99
9.75,-0.140328,0.596254,-0.341509,0.290192,0.01,0.99
9.875,-0.165727,0.537407,-0.056724,-1.2438,0.01,0.99
10,-0.147009,0.263402,0.417893,-3.35215,0.01,0.99
10.125,-0.0591317,-0.300917,0.674189,-4.33171,0.01,0.99
10.25,-0.0148314,-0.659726,0.117247,-1.71413,0.01,0.99
10.375,-0.0175185,-0.77058,-0.139941,-0.11607,0.01,0.99
10.5,-0.0493479,-0.688687,-0.385809,1.48269,0.01,0.99
10.625,-0.125039,-0.360569,-0.898988,4.04254,0.01,0.99
10.75,-0.238571,0.163556,-0.620813,3.05732,0.01,0.99
10.875,-0.28224,0.404585,-0.135972,1.01019,0.01,0.99
11,-0.279275,0.43842,0.177742,-0.454337,0.01,0.99
11.125,-0.234717,0.279708,0.570771,-2.21331,0.01,0.99
11.25,-0.122988,-0.165174,1.14519,-4.57,0.01,0.99
11.375,-0.0155728,-0.568554,0.579325,-1.87541,0.01,0.99
11.5,0.0360503,-0.686648,0.274615,-0.115833,0.01,0.99
