time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.0135916,0.90321,0.17787,-1.422,0.00333333,0.99
0.125,0.0565388,0.608932,0.581109,-3.5304,0.00333333,0.99
0.25,0.17772,-0.048741,1.01663,-5.55148,0.00333333,0.99
0.375,0.245693,-0.504372,0.211952,-2.29215,0.00333333,0.99
0.5,0.249548,-0.687115,-0.117572,-0.71989,0.00333333,0.99
0.625,0.219812,-0.691271,-0.358828,0.666372,0.00333333,0.99
0.75,0.155445,-0.504932,-0.714104,2.46478,0.00333333,0.99
0.875,0.0178381,0.0140704,-1.51185,5.9125,0.00333333,0.99
1,-0.120293,0.532671,-0.716052,2.43034,0.00333333,0.99
1.125,-0.185226,0.713167,-0.36633,0.609362,0.00333333,0.99
1.25,-0.216176,0.700543,-0.128611,-0.799936,0.00333333,0.99
1.375,-0.213495,0.505294,0.206701,-2.42056,0.00333333,0.99
1.5,-0.144994,0.0271742,1.01204,-5.71121,0.00333333,0.99
1.625,-0.03667,-0.60063,0.472684,-3.27955,0.00333333,0.99
1.75,-0.00556748,-0.871152,0.0891553,-1.26165,0.00333333,0.99
1.875,-0.00666534,-0.93803,-0.0958764,0.166821,0.00333333,0.99
2,-0.0304485,-0.826457,-0.304196,1.67372,0.00333333,0.99
2.125,-0.0947706,-0.479883,-0.824201,4.23887,0.00333333,0.99
2.25,-0.223243,0.170879,-0.754689,4.15424,0.00333333,0.99
2.375,-0.273889,0.512795,-0.153549,1.68003,0.00333333,0.99
2.5,-0.273364,0.628892,0.142757,0.225627,0.00333333,0.99
2.625,-0.239097,0.569547,0.417097,-1.21751,0.00333333,0.99
2.75,-0.16008,0.292706,0.926382,-3.50827,0.00333333,0.99
2.875,-0.00360978,-0.315753,1.14498,-4.36524,0.00333333,0.99
3,0.0944439,-0.656235,0.536031,-1.51531,0.00333333,0.99
3.125,0.143704,-0.742873,0.270987,0.061793,0.00333333,0.99
3.25,0.162439,-0.644596,0.0137491,1.54028,0.00333333,0.99
3.375,0.137616,-0.330289,-0.488286,3.75611,0.00333333,0.99
3.5,0.0331336,0.316626,-0.777298,4.88077,0.00333333,0.99
3.625,-0.0168794,0.718521,-0.139349,1.98943,0.00333333,0.99
3.75,-0.0168891,0.864381,0.112995,0.413683,0.00333333,0.99
3.875,0.00926178,0.82612,0.312555,-1.05104,0.00333333,0.99
4,0.0682553,0.578715,0.693012,-3.12441,0.00333333,0.99
4.125,0.196659,-0.00515413,1.07305,-4.97419,0.00333333,0.99
4.25,0.277991,-0.412305,0.338113,-1.96989,0.00333333,0.99
4.375,0.297426,-0.556107,0.000171223,-0.415053,0.00333333,0.99
4.5,0.280261,-0.521869,-0.281185,0.98586,0.00333333,0.99
4.625,0.220534,-0.287094,-0.733265,2.98399,0.00333333,0.99
4.75,0.0827326,0.275967,-1.19981,4.84578,0.00333333,0.99
4.875,-0.01969,0.663676,-0.544518,1.76624,0.00333333,0.99
5,-0.0692523,0.775726,-0.273188,0.112084,0.00333333,0.99
5.125,-0.0891979,0.697847,-0.0340885,-1.38083,0.00333333,0.99
5.25,-0.0693639,0.406548,0.420131,-3.51259,0.00333333,0.99
5.375,0.0257549,-0.21269,0.760458,-4.94776,0.00333333,0.99
5.5,0.0724186,-0.62302,0.0949417,-2.0291,0.00333333,0.99
5.625,0.0649362,-0.771596,-0.187783,-0.418932,0.00333333,0.99
5.75,0.0275084,-0.731056,-0.419792,1.10246,0.00333333,0.99
5.875,-0.0482667,-0.466891,-0.864949,3.3914,0.00333333,0.99
6,-0.18861,0.107485,-0.994391,4.13067,0.00333333,0.99
6.125,-0.268067,0.436739,-0.372586,1.50626,0.00333333,0.99
6.25,-0.293809,0.527494,-0.0572075,0.00557484,0.00333333,0.99
6.375,-0.282611,0.439588,0.25163,-1.45726,0.00333333,0.99
6.5,-0.220613,0.127855,0.823023,-3.84171,0.00333333,0.99
6.625,-0.0913808,-0.452583,0.844706,-3.72626,0.00333333,0.99
6.75,-0.0209473,-0.746974,0.364709,-1.29088,0.00333333,0.99
6.875,0.00966288,-0.809533,0.137849,0.246239,0.00333333,0.99
7,0.0124532,-0.684025,-0.115147,1.82041,0.00333333,0.99
7.125,-0.0320394,-0.311922,-0.690242,4.48002,0.00333333,0.99
7.25,-0.127252,0.291838,-0.461482,3.60017,0.00333333,0.99
7.375,-0.14921,0.587422,0.0373783,1.38287,0.00333333,0.99
7.5,-0.126756,0.663775,0.309899,-0.138144,0.00333333,0.99
7.625,-0.0702658,0.54523,0.6214,-1.85886,0.00333333,0.99
7.75,0.044449,0.13959,1.26951,-4.83255,0.00333333,0.99
7.875,0.175709,-0.350395,0.699391,-2.41718,0.00333333,0.99
8,0.235448,-0.525124,0.300508,-0.540361,0.00333333,0.99
8.125,0.255017,-0.501422,0.0103762,0.917055,0.00333333,0.99
8.25,0.232845,-0.281119,-0.412091,2.7645,0.00333333,0.99
8.375,0.137182,0.242956,-0.971952,4.97865,0.00333333,0.99
8.5,0.0580597,0.669299,-0.353398,2.05972,0.00333333,0.99
8.625,0.0327411,0.815543,-0.0816228,0.375564,0.00333333,0.99
8.75,0.0353158,0.770428,0.13038,-1.11802,0.00333333,0.99
8.875,0.0724639,0.513636,0.524004,-3.19959,0.00333333,0.99
9,0.172554,-0.04676,0.781544,-4.49416,0.00333333,0.99
9.125,0.224382,-0.420662,0.133663,-1.81221,0.00333333,0.99
9.25,0.219155,-0.544768,-0.195185,-0.233964,0.00333333,0.99
9.375,0.176433,-0.479011,-0.503493,1.34546,0.00333333,0.99
9.5,0.0821278,-0.166586,-1.08604,3.96342,0.00333333,0.99
9.625,-0.0597944,0.353069,-0.863127,2.94468,0.00333333,0.99
9.75,-0.136011,0.571085,-0.416851,0.771482,0.00333333,0.99
9.875,-0.170421,0.570369,-0.136363,-0.762104,0.00333333,0.99
10,-0.166094,0.370841,0.245227,-2.55336,0.00333333,0.99
10.125,-0.0935345,-0.12293,0.859657,-5.08445,0.00333333,0.99
10.25,-0.024014,-0.587285,0.254545,-2.3229,0.00333333,0.99
10.375,-0.013633,-0.761239,-0.0530407,-0.570637,0.00333333,0.99
10.5,-0.0339866,-0.738745,-0.277315,0.949469,0.00333333,0.99
10.625,-0.089482,-0.501546,-0.667633,3.0507,0.00333333,0.99
10.75,-0.203344,0.0256487,-0.860229,4.10877,0.00333333,0.99
10.875,-0.267616,0.362406,-0.245145,1.5712,0.00333333,0.99
11,-0.276195,0.459293,0.0898211,0.034348,0.00333333,0.99
11.125,-0.245149,0.369793,0.425496,-1.53266,0.00333333,0.99
11.25,-0.157989,0.0323187,1.03861,-4.1315,0.00333333,0.99
11.375,-0.030471,-0.463822,0.748965,-2.69691,0.00333333,0.99
11.5,0.0357219,-0.66088,0.360955,-0.643369,0.00333333,0.99
11.625,0.0648896,-0.643968,0.104866,0.905968,0.00333333,0.99
11.75,0.0568052,-0.420522,-0.280799,2.81967,0.00333333,0.99
11.875,-0.0170779,0.100254,-0.735477,4.78778,0.00333333,0.99
12,-0.0667176,0.515881,-0.111473,2.04821,0.00333333,0.99
12.125,-0.0593247,0.661538,0.202303,0.360686,0.00333333,0.99
12.25,-0.0178545,0.608728,0.473522,-1.25481,0.00333333,0.99
12.375,0.0688942,0.311512,0.982692,-3.75711,0.00333333,0.99
12.5,0.196048,-0.186755,0.756211,-2.92301,0.00333333,0.99
12.625,0.257302,-0.408856,0.280133,-0.841523,0.00333333,0.99
12.75,0.272375,-0.420154,-0.035448,0.6443,0.00333333,0.99
12.875,0.244705,-0.236342,-0.445778,2.42895,0.00333333,0.99
13,0.149345,0.228014,-0.964982,4.48531,0.00333333,0.99
13.125,0.064182,0.619806,-0.422855,1.85709,0.00333333,0.99
13.25,0.0303678,0.740135,-0.143918,0.155986,0.00333333,0.99
13.375,0.0269285,0.66393,0.102,-1.4111,0.00333333,0.99
13.5,0.0651373,0.357074,0.575917,-3.73755,0.00333333,0.99
13.625,0.151403,-0.180331,0.485313,-3.48798,0.00333333,0.99
13.75,0.1763,-0.464156,-0.0233423,-1.27833,0.00333333,0.99
13.875,0.153698,-0.525113,-0.329028,0.285571,0.00333333,0.99
14,0.0914061,-0.380986,-0.703012,2.15401,0.00333333,0.99
14.125,-0.0325703,0.05096,-1.15784,4.19786,0.00333333,0.99
14.25,-0.139093,0.407592,-0.572755,1.58852,0.00333333,0.99
14.375,-0.18811,0.494808,-0.233273,-0.108535,0.00333333,0.99
14.5,-0.197569,0.383913,0.100812,-1.71697,0.00333333,0.99
14.625,-0.151812,0.0282744,0.688741,-4.17956,0.00333333,0.99
14.75,-0.0674195,-0.476278,0.427551,-2.87583,0.00333333,0.99
14.875,-0.0404862,-0.700462,0.0528377,-0.8812,0.00333333,0.99
15,-0.0486076,-0.714145,-0.180546,0.658336,0.00333333,0.99
15.125,-0.0898915,-0.521366,-0.521864,2.57252,0.00333333,0.99
15.25,-0.185956,-0.0504169,-0.833272,4.15973,0.00333333,0.99
15.375,-0.249679,0.305486,-0.231278,1.69403,0.00333333,0.99
15.5,-0.255194,0.413418,0.122798,0.0955902,0.00333333,0.99
15.625,-0.219199,0.328464,0.471831,-1.52509,0.00333333,0.99
15.75,-0.126334,-0.00861172,1.04961,-3.99045,0.00333333,0.99
15.875,-0.007491,-0.444314,0.689092,-2.25122,0.00333333,0.99
16,0.0536976,-0.596852,0.327522,-0.329587,0.00333333,0.99
16.125,0.0773978,-0.539431,0.0433697,1.26351,0.00333333,0.99
16.25,0.0568655,-0.257491,-0.429516,3.44738,0.00333333,0.99
16.375,-0.0181574,0.264162,-0.473842,3.61739,0.00333333,0.99
16.5,-0.0430486,0.560574,0.0142506,1.34108,0.00333333,0.99
16.625,-0.0231864,0.626559,0.292695,-0.26066,0.00333333,0.99
16.75,0.0323479,0.485696,0.628125,-2.11198,0.00333333,0.99
16.875,0.142581,0.068791,1.02189,-4.0393,0.00333333,0.99
