time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.0132251,0.923856,0.171706,-1.41003,0.00333333,1.01
0.125,0.0547439,0.633187,0.561951,-3.47281,0.00333333,1.01
0.25,0.175583,-0.0257623,1.07186,-5.80566,0.00333333,1.01
0.375,0.247666,-0.502416,0.228189,-2.40125,0.00333333,1.01
0.5,0.252919,-0.697162,-0.108896,-0.81064,0.00333333,1.01
0.625,0.224427,-0.713162,-0.34566,0.562891,0.00333333,1.01
0.75,0.16286,-0.543301,-0.676797,2.28261,0.00333333,1.01
0.875,0.0329112,-0.0584116,-1.50688,5.88578,0.00333333,1.01
1,-0.116199,0.507487,-0.775946,2.70462,0.00333333,1.01
1.125,-0.186248,0.713876,-0.397085,0.781851,0.00333333,1.01
1.25,-0.220964,0.722177,-0.161546,-0.628604,0.00333333,1.01
1.375,-0.223778,0.552032,0.14516,-2.16556,0.00333333,1.01
1.5,-0.168566,0.127322,0.864809,-5.11475,0.00333333,1.01
1.625,-0.050201,-0.545284,0.589156,-3.79661,0.00333333,1.01
1.75,-0.0101382,-0.860105,0.135238,-1.53159,0.00333333,1.01
1.875,-0.0063579,-0.958277,-0.0584972,-0.0783979,0.00333333,1.01
2,-0.0243767,-0.880091,-0.242738,1.36436,0.00333333,1.01
2.125,-0.0758091,-0.59022,-0.653534,3.52923,0.00333333,1.01
2.25,-0.201595,0.0512124,-0.984482,5.14388,0.00333333,1.01
2.375,-0.269646,0.472581,-0.232722,2.09824,0.00333333,1.01
2.5,-0.276528,0.633836,0.0939382,0.560822,0.00333333,1.01
2.625,-0.248883,0.618236,0.352176,-0.830418,0.00333333,1.01
2.75,-0.182893,0.406687,0.755625,-2.73995,0.00333333,1.01
2.875,-0.0383424,-0.149025,1.41515,-5.5212,0.00333333,1.01
3,0.0842039,-0.598549,0.647686,-2.06828,0.00333333,1.01
3.125,0.143863,-0.742184,0.339898,-0.344763,0.00333333,1.01
3.25,0.17185,-0.695536,0.102001,1.09435,0.00333333,1.01
3.375,0.163495,-0.454392,-0.284861,2.91376,0.00333333,1.01
3.5,0.0782212,0.114665,-1.04126,6.01407,0.00333333,1.01
