time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.000269775,0.903636,0.177875,-1.41428,-0.01,0.99
0.125,0.0430651,0.611534,0.577394,-3.49727,-0.01,0.99
0.25,0.165385,-0.0477632,1.0599,-5.70099,-0.01,0.99
0.375,0.237185,-0.514991,0.234457,-2.34871,-0.01,0.99
0.5,0.243711,-0.703822,-0.0958878,-0.765801,-0.01,0.99
0.625,0.216994,-0.714227,-0.33104,0.608416,-0.01,0.99
0.75,0.157074,-0.538126,-0.666476,2.34124,-0.01,0.99
0.875,0.0277216,-0.0435058,-1.49265,5.92061,-0.01,0.99
1,-0.116486,0.513512,-0.742524,2.65878,-0.01,0.99
1.125,-0.18293,0.716602,-0.37084,0.766572,-0.01,0.99
1.25,-0.214482,0.723442,-0.136772,-0.638857,-0.01,0.99
1.375,-0.21416,0.551575,0.171305,-2.18689,-0.01,0.99
1.5,-0.155074,0.120951,0.901976,-5.19595,-0.01,0.99
1.625,-0.036757,-0.542988,0.578505,-3.68853,-0.01,0.99
1.75,0.00288389,-0.848258,0.135255,-1.47161,-0.01,0.99
1.875,0.00660669,-0.939425,-0.060609,-0.0235158,-0.01,0.99
2,-0.0121644,-0.853847,-0.254066,1.43193,-0.01,0.99
2.125,-0.0663588,-0.551858,-0.692086,3.67991,-0.01,0.99
2.25,-0.194183,0.0954388,-0.93181,4.89034,-0.01,0.99
2.375,-0.258581,0.495558,-0.221449,1.98561,-0.01,0.99
2.5,-0.264962,0.644532,0.0932135,0.469019,-0.01,0.99
2.625,-0.23753,0.617122,0.351349,-0.931835,-0.01,0.99
2.75,-0.170814,0.389799,0.773475,-2.91136,-0.01,0.99
2.875,-0.0244843,-0.184833,1.34416,-5.30748,-0.01,0.99
3,0.0897132,-0.609832,0.601004,-1.95506,-0.01,0.99
3.125,0.144453,-0.743042,0.30449,-0.278378,-0.01,0.99
3.25,0.168026,-0.688531,0.0653086,1.159,-0.01,0.99
3.375,0.154375,-0.436908,-0.337027,3.03479,-0.01,0.99
3.5,0.0620884,0.149703,-1.02756,5.86602,-0.01,0.99
3.625,-0.0133498,0.652299,-0.263322,2.49857,-0.01,0.99
3.75,-0.0249353,0.850107,0.0385914,0.782536,-0.01,0.99
3.875,-0.00801272,0.858653,0.231207,-0.648586,-0.01,0.99
4,0.0368071,0.675447,0.524961,-2.41042,-0.01,0.99
4.125,0.143505,0.181381,1.21859,-5.61872,-0.01,0.99
4.25,0.252149,-0.346569,0.476851,-2.62665,-0.01,0.99
4.375,0.283904,-0.554756,0.0765977,-0.855231,-0.01,0.99
4.5,0.276294,-0.574965,-0.195473,0.527988,-0.01,0.99
4.625,0.231767,-0.411604,-0.551715,2.20459,-0.01,0.99
4.75,0.119291,0.047826,-1.30867,5.37484,-0.01,0.99
4.875,-0.0110748,0.567557,-0.685565,2.52225,-0.01,0.99
5,-0.0723302,0.7542,-0.340531,0.62588,-0.01,0.99
5.125,-0.100739,0.740209,-0.11332,-0.841427,-0.01,0.99
5.25,-0.096225,0.533398,0.225956,-2.58682,-0.01,0.99
5.375,-0.0242273,0.02209,0.965528,-5.73387,-0.01,0.99
5.5,0.0575743,-0.528407,0.28333,-2.8018,-0.01,0.99
5.625,0.0674749,-0.753964,-0.0769573,-0.956234,-0.01,0.99
5.75,0.043799,-0.78156,-0.298165,0.513415,-0.01,0.99
5.875,-0.0105489,-0.613097,-0.609449,2.31293,-0.01,0.99
6,-0.12733,-0.133614,-1.25612,5.31473,-0.01,0.99
6.125,-0.240245,0.351054,-0.537267,2.35775,-0.01,0.99
6.25,-0.280937,0.528469,-0.153455,0.617505,-0.01,0.99
6.375,-0.282533,0.518302,0.129211,-0.782579,-0.01,0.99
