time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.0134691,0.910094,0.175809,-1.41797,0.00333333,0.996667
0.125,0.0559382,0.617031,0.574697,-3.51105,0.00333333,0.996667
0.25,0.17705,-0.0412504,1.03491,-5.63571,0.00333333,0.996667
0.375,0.246368,-0.5038,0.217299,-2.32833,0.00333333,0.996667
0.5,0.250687,-0.690537,-0.114655,-0.750181,0.00333333,0.996667
0.625,0.221374,-0.698659,-0.354323,0.631584,0.00333333,0.996667
0.75,0.15797,-0.517908,-0.701233,2.40244,0.00333333,0.996667
0.875,0.0228419,-0.00995028,-1.51676,5.93173,0.00333333,0.996667
1,-0.119008,0.524698,-0.735334,2.51918,0.00333333,0.996667
1.125,-0.185612,0.713691,-0.376543,0.666581,0.00333333,0.996667
1.25,-0.217829,0.708053,-0.139828,-0.742354,0.00333333,0.996667
1.375,-0.21704,0.521343,0.185321,-2.33261,0.00333333,0.996667
1.5,-0.15312,0.0616307,0.966484,-5.5267,0.00333333,0.996667
1.625,-0.0409196,-0.583361,0.50892,-3.44201,0.00333333,0.996667
1.75,-0.00698192,-0.868131,0.104078,-1.35042,0.00333333,0.996667
1.875,-0.00646614,-0.945407,-0.0832181,0.0845967,0.00333333,0.996667
2,-0.0282566,-0.845163,-0.282626,1.5672,0.00333333,0.996667
2.125,-0.0879744,-0.518648,-0.763113,3.98506,0.00333333,0.996667
2.25,-0.216752,0.134083,-0.82649,4.46443,0.00333333,0.996667
2.375,-0.272732,0.50072,-0.178422,1.81468,0.00333333,0.996667
2.5,-0.274594,0.631637,0.126507,0.337349,0.00333333,0.996667
2.625,-0.242605,0.587077,0.394153,-1.08456,0.00333333,0.996667
2.75,-0.168318,0.333384,0.86348,-3.22883,0.00333333,0.996667
2.875,-0.0141356,-0.264832,1.24038,-4.7743,0.00333333,0.996667
3,0.0914267,-0.639133,0.570539,-1.69002,0.00333333,0.996667
3.125,0.144011,-0.74426,0.293896,-0.0729485,0.00333333,0.996667
3.25,0.165927,-0.66339,0.0449164,1.38698,0.00333333,0.996667
3.375,0.14709,-0.375181,-0.412885,3.44578,0.00333333,0.996667
3.5,0.0468305,0.254985,-0.886277,5.34632,0.00333333,0.996667
3.625,-0.012337,0.697338,-0.181291,2.19684,0.00333333,0.996667
3.75,-0.0162103,0.864965,0.0880809,0.571505,0.00333333,0.996667
3.875,0.0066708,0.846951,0.281594,-0.875046,0.00333333,0.996667
4,0.0597726,0.628235,0.618964,-2.79823,0.00333333,0.996667
4.125,0.180814,0.0757662,1.17674,-5.41999,0.00333333,0.996667
4.25,0.273553,-0.381794,0.391709,-2.23049,0.00333333,0.996667
4.375,0.297794,-0.552045,0.0301607,-0.601645,0.00333333,0.996667
4.5,0.284425,-0.541395,-0.246396,0.783306,0.00333333,0.996667
4.625,0.231162,-0.339123,-0.652935,2.61991,0.00333333,0.996667
4.75,0.101925,0.18639,-1.30584,5.29962,0.00333333,0.996667
4.875,-0.0131942,0.630205,-0.605407,2.06071,0.00333333,0.996667
5,-0.0683047,0.771949,-0.308905,0.319985,0.00333333,0.996667
5.125,-0.0929263,0.720221,-0.0778779,-1.15664,0.00333333,0.996667
5.25,-0.0811731,0.465344,0.321254,-3.09843,0.00333333,0.996667
5.375,0.00574574,-0.120372,0.893021,-5.51513,0.00333333,0.996667
5.5,0.0658428,-0.589575,0.158902,-2.33724,0.00333333,0.996667
5.625,0.0642043,-0.770054,-0.150495,-0.648321,0.00333333,0.996667
5.75,0.0316354,-0.75906,-0.373838,0.84309,0.00333333,0.996667
5.875,-0.0352498,-0.538252,-0.75236,2.8909,0.00333333,0.996667
6,-0.169929,0.0113722,-1.1478,4.79226,0.00333333,0.996667
6.125,-0.262856,0.401424,-0.436852,1.8302,0.00333333,0.996667
6.25,-0.294723,0.526428,-0.098627,0.255745,0.00333333,0.996667
6.375,-0.289199,0.471227,0.196101,-1.16458,0.00333333,0.996667
6.5,-0.238095,0.210176,0.686426,-3.24799,0.00333333,0.996667
6.625,-0.111279,-0.35973,1.00656,-4.42281,0.00333333,0.996667
6.75,-0.0276037,-0.714192,0.429658,-1.62045,0.00333333,0.996667
6.875,0.00946731,-0.812426,0.183836,-0.0191459,0.00333333,0.996667
7,0.0188441,-0.722149,-0.0486291,1.49914,0.00333333,0.996667
7.125,-0.0124724,-0.407474,-0.530431,3.81207,0.00333333,0.996667
7.25,-0.109356,0.204492,-0.621648,4.28905,0.00333333,0.996667
